shipment_id,Route,origin,destination,status,cost,carrier,transport_mode,weight_kg,weather_condition,priority,carbon_emissions_kg,risk_score,dispatch_date,expected_date,delivery_date
TRK-110593,Mumbai → Dubai,Mumbai,Dubai,Delivered,1246.95,Hapag-Lloyd,Rail,4335.50,Clear,Overnight,140903.75,10,2026-01-16,2026-01-29,2026-01-31
TRK-792014,Los Angeles → London,Los Angeles,London,In Transit,105.36,Maersk,Sea,265.40,Clear,Standard,14331.60,10,2026-03-30,2026-05-05,
TRK-774777,Melbourne → Toronto,Melbourne,Toronto,Delivered,1466.19,FedEx,Air,3512.50,Rain,Express,175625.00,20,2026-04-02,2026-04-06,2026-04-07
TRK-539095,Melbourne → Tokyo,Melbourne,Tokyo,Delayed,1892.60,CMA CGM,Sea,4131.00,Clear,Overnight,247860.00,10,2026-02-20,2026-04-01,
TRK-168154,Mumbai → Tokyo,Mumbai,Tokyo,Delayed,758.09,DHL,Air,14.70,Storm,Overnight,367.50,75,2026-03-07,2026-03-09,
TRK-718684,New York → Melbourne,New York,Melbourne,Delivered,2352.86,DHL,Air,3391.60,Clear,Critical,42395.00,5,2026-01-16,2026-01-17,2026-01-18
TRK-349101,Chicago → Mumbai,Chicago,Mumbai,Delivered,3762.59,Hapag-Lloyd,Sea,4942.00,Clear,Express,207564.00,5,2026-02-26,2026-03-26,2026-03-25
TRK-171265,Tokyo → New York,Tokyo,New York,Delivered,514.81,Hapag-Lloyd,Sea,850.60,Rain,Express,51036.00,20,2026-02-20,2026-04-01,2026-04-01
TRK-604134,Chicago → Melbourne,Chicago,Melbourne,Delivered,454.71,Maersk,Sea,1150.70,Clear,Critical,63863.85,5,2026-02-15,2026-03-24,2026-03-25
TRK-898378,Melbourne → Mumbai,Melbourne,Mumbai,Delivered,1310.87,Hapag-Lloyd,Sea,1882.10,Rain,Express,104456.55,20,2026-01-28,2026-03-06,2026-03-06
TRK-455905,Los Angeles → Melbourne,Los Angeles,Melbourne,Delayed,1483.85,FedEx,Air,4187.60,Snow,Standard,52345.00,55,2026-01-30,2026-01-31,
TRK-580763,Sydney → Paris,Sydney,Paris,Delayed,1567.68,DHL,Air,1787.00,Storm,Express,67012.50,70,2026-03-21,2026-03-24,
TRK-929081,Shanghai → Los Angeles,Shanghai,Los Angeles,In Transit,1950.52,Hapag-Lloyd,Sea,2818.10,Rain,Overnight,109905.90,25,2026-03-21,2026-04-16,
TRK-407640,Chicago → Melbourne,Chicago,Melbourne,Delivered,881.66,UPS,Air,259.40,Clear,Express,9727.50,5,2026-04-05,2026-04-08,2026-04-09
TRK-123255,New York → London,New York,London,Delivered,3734.72,DHL,Air,4404.40,Clear,Overnight,220220.00,10,2026-01-17,2026-01-21,2026-01-22
TRK-429116,Berlin → London,Berlin,London,Delayed,1892.85,Maersk,Road,4029.10,Rain,Critical,54392.85,20,2026-01-20,2026-01-23,
TRK-931659,New York → Toronto,New York,Toronto,Delayed,2574.65,FedEx,Air,4067.30,Snow,Overnight,50841.25,55,2026-01-14,2026-01-15,
TRK-115408,Berlin → Chicago,Berlin,Chicago,Delayed,922.20,FedEx,Air,455.60,Rain,Overnight,5695.00,25,2026-04-10,2026-04-11,
TRK-745583,London → Sydney,London,Sydney,Delivered,1279.75,UPS,Air,2204.70,Clear,Critical,110235.00,5,2026-01-14,2026-01-18,2026-01-18
TRK-799140,Singapore → Tokyo,Singapore,Tokyo,Delivered,848.37,UPS,Air,168.90,Clear,Overnight,2111.25,10,2026-01-18,2026-01-19,2026-01-19
TRK-462278,Singapore → Sydney,Singapore,Sydney,Delivered,816.15,FedEx,Air,246.70,Clear,Overnight,3083.75,10,2026-02-13,2026-02-14,2026-02-16
TRK-650684,Mumbai → Los Angeles,Mumbai,Los Angeles,Delivered,1209.68,Hapag-Lloyd,Sea,2872.50,Clear,Express,99101.25,5,2026-01-30,2026-02-22,2026-02-24
TRK-703569,Sydney → Shanghai,Sydney,Shanghai,In Transit,1006.14,UPS,Air,1101.80,Rain,Express,27545.00,20,2026-04-13,2026-04-15,
TRK-368725,Singapore → Berlin,Singapore,Berlin,In Transit,418.48,Maersk,Sea,2042.30,Clear,Standard,88840.05,10,2026-04-04,2026-05-03,
TRK-662314,Los Angeles → Tokyo,Los Angeles,Tokyo,Delivered,4032.57,UPS,Air,4436.90,Clear,Critical,166383.75,5,2026-03-04,2026-03-07,2026-03-07
TRK-289714,Melbourne → New York,Melbourne,New York,Delivered,1218.63,DHL,Air,1619.80,Clear,Critical,80990.00,5,2026-04-03,2026-04-07,2026-04-08
TRK-395045,Melbourne → New York,Melbourne,New York,In Transit,3030.99,Hapag-Lloyd,Sea,4090.90,Rain,Overnight,227044.95,25,2026-04-06,2026-05-13,
TRK-770283,Berlin → Tokyo,Berlin,Tokyo,Delivered,1109.84,DHL,Air,1614.70,Clear,Overnight,40367.50,10,2026-04-11,2026-04-13,2026-04-12
TRK-176309,New York → Chicago,New York,Chicago,Delivered,289.01,UPS,Rail,418.40,Clear,Overnight,6276.00,10,2026-02-23,2026-03-01,2026-03-03
TRK-586942,Shanghai → Sydney,Shanghai,Sydney,Delayed,1314.96,UPS,Air,1661.50,Storm,Standard,41537.50,75,2026-02-28,2026-03-02,
TRK-384414,Melbourne → Toronto,Melbourne,Toronto,Delayed,732.63,CMA CGM,Sea,2992.10,Rain,Express,125668.20,20,2026-01-25,2026-02-22,
TRK-112941,London → New York,London,New York,Delayed,759.17,Maersk,Sea,2274.20,Rain,Overnight,115984.20,25,2026-02-11,2026-03-17,
TRK-782528,Toronto → London,Toronto,London,Delivered,3902.97,UPS,Air,4898.30,Clear,Express,244915.00,5,2026-01-14,2026-01-18,2026-01-17
TRK-822409,Sydney → Melbourne,Sydney,Melbourne,Delivered,2729.35,DHL,Air,4610.40,Clear,Standard,115260.00,10,2026-04-03,2026-04-05,2026-04-07
TRK-126965,Melbourne → Dubai,Melbourne,Dubai,Delivered,161.28,Maersk,Sea,461.60,Clear,Critical,28388.40,5,2026-02-10,2026-03-23,2026-03-25
TRK-972732,Melbourne → Dubai,Melbourne,Dubai,Delivered,2079.60,FedEx,Air,2019.30,Clear,Overnight,50482.50,10,2026-03-06,2026-03-08,2026-03-08
TRK-249778,Melbourne → Sydney,Melbourne,Sydney,Delivered,3264.32,FedEx,Air,4629.70,Clear,Express,231485.00,5,2026-01-27,2026-01-31,2026-01-30
TRK-108743,Sydney → Singapore,Sydney,Singapore,Delivered,1384.50,FedEx,Air,1649.90,Rain,Express,20623.75,20,2026-03-29,2026-03-30,2026-03-31
TRK-274349,Paris → Chicago,Paris,Chicago,In Transit,115.97,Maersk,Sea,625.30,Clear,Standard,34704.15,10,2026-03-25,2026-05-01,
TRK-784001,Shanghai → Toronto,Shanghai,Toronto,Delivered,1142.72,UPS,Air,1404.70,Clear,Standard,52676.25,10,2026-01-22,2026-01-25,2026-01-25
TRK-912784,Dubai → Berlin,Dubai,Berlin,Delayed,1602.90,Hapag-Lloyd,Sea,3897.30,Clear,Overnight,227992.05,10,2026-02-02,2026-03-13,
TRK-378703,Toronto → Rotterdam,Toronto,Rotterdam,In Transit,1069.59,CMA CGM,Sea,3286.10,Clear,Standard,192236.85,10,2026-03-27,2026-05-05,
TRK-643993,Singapore → Dubai,Singapore,Dubai,Delivered,333.89,Hapag-Lloyd,Road,1303.90,Clear,Standard,17602.65,10,2026-03-21,2026-03-24,2026-03-23
TRK-973672,Dubai → Paris,Dubai,Paris,Delivered,2337.71,DHL,Air,4827.20,Clear,Express,181020.00,5,2026-04-02,2026-04-05,2026-04-05
TRK-993961,Melbourne → Paris,Melbourne,Paris,Delivered,2199.78,FedEx,Air,3613.20,Rain,Critical,135495.00,20,2026-02-03,2026-02-06,2026-02-07
TRK-439691,Singapore → New York,Singapore,New York,In Transit,553.22,CMA CGM,Sea,1403.50,Clear,Critical,69473.25,5,2026-03-28,2026-04-30,
TRK-892481,Sydney → Tokyo,Sydney,Tokyo,In Transit,1901.04,CMA CGM,Sea,4855.80,Storm,Critical,203943.60,95,2026-03-26,2026-04-23,
TRK-572573,Sydney → Paris,Sydney,Paris,Delayed,408.06,Maersk,Sea,765.10,Clear,Overnight,50496.60,10,2026-02-01,2026-03-17,
TRK-599832,Sydney → Dubai,Sydney,Dubai,Delayed,464.60,CMA CGM,Sea,1645.60,Storm,Standard,49368.00,100,2026-02-27,2026-03-19,
TRK-119326,Rotterdam → Berlin,Rotterdam,Berlin,Delivered,2402.81,CMA CGM,Road,4334.40,Clear,Critical,136533.60,5,2026-03-15,2026-03-22,2026-03-24
TRK-429121,New York → Tokyo,New York,Tokyo,Delivered,1714.26,Hapag-Lloyd,Sea,2333.00,Clear,Critical,129481.50,5,2026-02-17,2026-03-26,2026-03-25
TRK-952808,Sydney → Los Angeles,Sydney,Los Angeles,Delivered,1738.88,Hapag-Lloyd,Sea,2918.20,Clear,Overnight,96300.60,10,2026-01-17,2026-02-08,2026-02-10
TRK-249312,Toronto → Singapore,Toronto,Singapore,In Transit,995.82,Maersk,Sea,1236.90,Clear,Critical,83490.75,5,2026-04-03,2026-05-18,
TRK-801973,Sydney → New York,Sydney,New York,In Transit,646.64,Hapag-Lloyd,Sea,3335.10,Clear,Overnight,100053.00,10,2026-04-04,2026-04-24,
TRK-405049,Shanghai → Sydney,Shanghai,Sydney,Delivered,2452.14,UPS,Air,3273.30,Clear,Critical,81832.50,5,2026-02-24,2026-02-26,2026-02-28
TRK-477436,Melbourne → Mumbai,Melbourne,Mumbai,Delivered,1735.76,FedEx,Air,1345.30,Clear,Express,16816.25,5,2026-03-04,2026-03-05,2026-03-05
TRK-647189,Sydney → Mumbai,Sydney,Mumbai,Delivered,1457.28,Maersk,Sea,4032.90,Extreme Heat,Express,151233.75,55,2026-01-20,2026-02-14,2026-02-15
TRK-188151,Sydney → Toronto,Sydney,Toronto,Delivered,1274.72,Hapag-Lloyd,Sea,2393.00,Clear,Express,122043.00,5,2026-01-27,2026-03-02,2026-03-04
TRK-830170,Berlin → Los Angeles,Berlin,Los Angeles,Delivered,550.44,Maersk,Sea,717.60,Rain,Overnight,31215.60,25,2026-02-05,2026-03-06,2026-03-07
TRK-618717,Berlin → Chicago,Berlin,Chicago,Delivered,2972.82,UPS,Air,3254.00,Clear,Express,122025.00,5,2026-03-02,2026-03-05,2026-03-05
TRK-714431,Chicago → Rotterdam,Chicago,Rotterdam,Delivered,997.53,UPS,Air,561.10,Clear,Overnight,28055.00,10,2026-04-03,2026-04-07,2026-04-09
TRK-277727,London → Melbourne,London,Melbourne,Delayed,2385.49,DHL,Air,4177.80,Snow,Standard,156667.50,55,2026-03-25,2026-03-28,
TRK-778087,Melbourne → Dubai,Melbourne,Dubai,Delivered,1833.90,Hapag-Lloyd,Sea,4331.10,Clear,Critical,149422.95,5,2026-01-21,2026-02-13,2026-02-15
TRK-834607,London → Berlin,London,Berlin,Delivered,1681.10,FedEx,Road,4793.50,Clear,Express,64712.25,5,2026-03-19,2026-03-22,2026-03-23
TRK-759051,Sydney → London,Sydney,London,In Transit,2876.76,CMA CGM,Sea,4803.40,Clear,Critical,151307.10,5,2026-03-31,2026-04-21,
TRK-980275,Shanghai → New York,Shanghai,New York,Delivered,1985.09,Hapag-Lloyd,Sea,2674.30,Rain,Express,80229.00,20,2026-03-22,2026-04-11,2026-04-12
TRK-617830,Melbourne → Mumbai,Melbourne,Mumbai,In Transit,1280.72,CMA CGM,Sea,2978.30,Rain,Overnight,134023.50,25,2026-04-06,2026-05-06,
TRK-895820,Toronto → Melbourne,Toronto,Melbourne,Delivered,2101.44,CMA CGM,Sea,4997.70,Rain,Critical,239889.60,20,2026-01-17,2026-02-18,2026-02-19
TRK-316448,Tokyo → Chicago,Tokyo,Chicago,Delivered,758.78,CMA CGM,Sea,1153.10,Clear,Overnight,58808.10,10,2026-03-06,2026-04-09,2026-04-08
TRK-833302,New York → Toronto,New York,Toronto,Delivered,2093.88,DHL,Air,4632.80,Extreme Heat,Standard,115820.00,35,2026-01-20,2026-01-22,2026-01-21
TRK-260541,Sydney → Toronto,Sydney,Toronto,In Transit,435.35,CMA CGM,Sea,1836.60,Extreme Heat,Express,115705.80,55,2026-03-28,2026-05-09,
TRK-991861,Mumbai → New York,Mumbai,New York,Delivered,2072.12,DHL,Air,3629.30,Clear,Standard,45366.25,10,2026-03-02,2026-03-03,2026-03-04
TRK-899584,Sydney → Melbourne,Sydney,Melbourne,Delivered,1034.87,Maersk,Road,2502.10,Clear,Overnight,56297.25,10,2026-01-24,2026-01-29,2026-01-28
TRK-800536,Mumbai → London,Mumbai,London,Delivered,1703.45,UPS,Air,2049.10,Clear,Overnight,25613.75,10,2026-04-01,2026-04-02,2026-04-04
TRK-969797,Mumbai → Shanghai,Mumbai,Shanghai,Delivered,2752.23,CMA CGM,Road,4447.60,Clear,Overnight,100071.00,10,2026-02-27,2026-03-04,2026-03-03
TRK-733766,Sydney → New York,Sydney,New York,Delayed,1581.87,Maersk,Sea,4527.10,Storm,Overnight,305579.25,100,2026-01-24,2026-03-10,
TRK-971408,Sydney → New York,Sydney,New York,Delayed,75.25,Hapag-Lloyd,Sea,64.70,Storm,Standard,3202.65,100,2026-02-18,2026-03-23,
TRK-595776,Mumbai → Sydney,Mumbai,Sydney,Delivered,1373.83,CMA CGM,Sea,3700.40,Rain,Standard,188720.40,25,2026-03-03,2026-04-06,2026-04-08
TRK-640726,Mumbai → Rotterdam,Mumbai,Rotterdam,Delivered,3147.09,FedEx,Air,3313.10,Clear,Express,165655.00,5,2026-01-23,2026-01-27,2026-01-27
TRK-782491,Rotterdam → Sydney,Rotterdam,Sydney,Delayed,1017.78,CMA CGM,Sea,2829.50,Extreme Heat,Express,169770.00,55,2026-02-07,2026-03-19,
TRK-580024,Rotterdam → Sydney,Rotterdam,Sydney,Delivered,1831.66,Hapag-Lloyd,Sea,3920.30,Rain,Standard,241098.45,25,2026-02-12,2026-03-25,2026-03-26
TRK-586034,Mumbai → Shanghai,Mumbai,Shanghai,Delayed,654.15,FedEx,Road,1196.20,Rain,Standard,16148.70,25,2026-01-26,2026-01-29,
TRK-286618,Los Angeles → London,Los Angeles,London,Delivered,494.40,Maersk,Sea,774.80,Rain,Overnight,49974.60,25,2026-02-10,2026-03-25,2026-03-27
TRK-551645,Shanghai → Melbourne,Shanghai,Melbourne,Delivered,1728.25,DHL,Air,2469.40,Clear,Standard,30867.50,10,2026-02-12,2026-02-13,2026-02-13
TRK-751212,Melbourne → Toronto,Melbourne,Toronto,In Transit,921.32,CMA CGM,Sea,4010.50,Clear,Standard,132346.50,10,2026-04-12,2026-05-04,
TRK-340136,Shanghai → Chicago,Shanghai,Chicago,Delivered,994.05,DHL,Air,1274.90,Rain,Express,15936.25,20,2026-03-29,2026-03-30,2026-03-30
TRK-475992,Shanghai → Toronto,Shanghai,Toronto,Delayed,1735.47,DHL,Air,4320.00,Clear,Express,108000.00,5,2026-02-19,2026-02-21,
TRK-137878,Berlin → Melbourne,Berlin,Melbourne,In Transit,99.24,Maersk,Sea,32.40,Clear,Overnight,2138.40,10,2026-03-12,2026-04-25,
TRK-386304,Melbourne → London,Melbourne,London,In Transit,527.58,CMA CGM,Sea,938.60,Extreme Heat,Overnight,57723.90,60,2026-03-29,2026-05-09,
TRK-728760,Rotterdam → Sydney,Rotterdam,Sydney,Delivered,954.72,CMA CGM,Sea,1280.60,Rain,Overnight,78756.90,25,2026-01-27,2026-03-09,2026-03-08
TRK-508020,Chicago → London,Chicago,London,In Transit,983.94,Hapag-Lloyd,Sea,2667.30,Rain,Standard,132031.35,25,2026-03-17,2026-04-19,
TRK-294590,Sydney → Toronto,Sydney,Toronto,Delayed,1187.61,UPS,Air,1675.90,Clear,Overnight,20948.75,10,2026-03-28,2026-03-29,
TRK-680947,Melbourne → Toronto,Melbourne,Toronto,Delivered,1611.30,CMA CGM,Sea,4225.70,Clear,Express,228187.80,5,2026-01-16,2026-02-21,2026-02-23
TRK-763344,London → Rotterdam,London,Rotterdam,Delivered,776.62,UPS,Air,2638.80,Clear,Standard,65970.00,10,2026-02-27,2026-03-01,2026-03-01
TRK-878201,Shanghai → Dubai,Shanghai,Dubai,Delivered,1336.47,BlueDart,Road,3623.40,Clear,Overnight,65221.20,10,2026-02-28,2026-03-04,2026-03-05
TRK-197347,Los Angeles → Chicago,Los Angeles,Chicago,Delayed,1654.64,Hapag-Lloyd,Road,4310.80,Storm,Standard,116391.60,75,2026-03-19,2026-03-25,
TRK-919218,Melbourne → Berlin,Melbourne,Berlin,Delivered,2780.28,DHL,Air,2898.80,Extreme Heat,Overnight,36235.00,35,2026-02-18,2026-02-19,2026-02-19
TRK-901366,Chicago → Los Angeles,Chicago,Los Angeles,Delivered,927.36,DHL,Air,381.10,Clear,Critical,19055.00,5,2026-03-22,2026-03-26,2026-03-27
TRK-581625,Los Angeles → Shanghai,Los Angeles,Shanghai,Delivered,2406.48,DHL,Air,4915.50,Clear,Critical,122887.50,5,2026-03-07,2026-03-09,2026-03-10
TRK-408198,New York → Chicago,New York,Chicago,Delayed,2200.53,FedEx,Road,4549.30,Clear,Express,81887.40,5,2026-02-22,2026-02-26,
TRK-696907,Sydney → New York,Sydney,New York,Delayed,3068.02,UPS,Air,4728.80,Clear,Overnight,177330.00,10,2026-02-13,2026-02-16,
TRK-751214,Tokyo → Singapore,Tokyo,Singapore,Delayed,2045.69,FedEx,Air,4378.10,Snow,Express,164178.75,50,2026-03-31,2026-04-03,
TRK-473733,Sydney → Mumbai,Sydney,Mumbai,Delayed,2028.09,FedEx,Air,1745.90,Storm,Express,87295.00,70,2026-04-07,2026-04-11,
TRK-784797,Tokyo → Melbourne,Tokyo,Melbourne,Delivered,1777.66,FedEx,Air,3973.50,Clear,Standard,99337.50,10,2026-02-25,2026-02-27,2026-02-28
TRK-726907,Toronto → New York,Toronto,New York,Delayed,3006.13,UPS,Road,4509.50,Storm,Express,40585.50,70,2026-03-07,2026-03-09,
TRK-924244,Shanghai → Chicago,Shanghai,Chicago,Delivered,931.69,UPS,Air,2308.90,Clear,Standard,28861.25,10,2026-03-08,2026-03-09,2026-03-11
TRK-690672,New York → Melbourne,New York,Melbourne,In Transit,1052.90,Maersk,Sea,2428.90,Clear,Standard,160307.40,10,2026-03-30,2026-05-13,
TRK-100823,Melbourne → Sydney,Melbourne,Sydney,Delayed,3192.11,CMA CGM,Road,4789.20,Snow,Critical,107757.00,50,2026-02-04,2026-02-09,
TRK-218980,Shanghai → Sydney,Shanghai,Sydney,Delivered,2728.32,DHL,Air,3937.20,Clear,Express,49215.00,5,2026-04-03,2026-04-04,2026-04-04
TRK-789158,Sydney → Melbourne,Sydney,Melbourne,Delivered,2368.11,DHL,Air,2407.60,Rain,Overnight,30095.00,25,2026-02-27,2026-02-28,2026-02-27
TRK-186976,Paris → Dubai,Paris,Dubai,In Transit,1607.16,Maersk,Sea,2486.30,Clear,Express,164095.80,5,2026-04-07,2026-05-21,
TRK-717397,Mumbai → Singapore,Mumbai,Singapore,Delivered,2469.50,BlueDart,Rail,3116.70,Clear,Critical,46750.50,5,2026-01-14,2026-01-20,2026-01-22
TRK-923445,Sydney → Rotterdam,Sydney,Rotterdam,Delivered,1683.62,UPS,Air,1763.40,Clear,Overnight,66127.50,10,2026-02-20,2026-02-23,2026-02-24
TRK-154491,Shanghai → Sydney,Shanghai,Sydney,Delivered,2344.36,DHL,Air,4791.80,Clear,Standard,59897.50,10,2026-01-25,2026-01-26,2026-01-27
TRK-486845,Chicago → Melbourne,Chicago,Melbourne,In Transit,2043.63,Maersk,Sea,4092.90,Clear,Standard,221016.60,10,2026-04-06,2026-05-12,
TRK-281865,Tokyo → Melbourne,Tokyo,Melbourne,Delivered,1116.01,DHL,Air,747.60,Clear,Critical,18690.00,5,2026-03-18,2026-03-20,2026-03-22
TRK-398296,New York → Rotterdam,New York,Rotterdam,Delayed,979.89,FedEx,Air,1064.60,Clear,Overnight,13307.50,10,2026-02-21,2026-02-22,
TRK-298229,Mumbai → Berlin,Mumbai,Berlin,In Transit,821.00,Maersk,Sea,1650.30,Rain,Express,91591.65,20,2026-03-17,2026-04-23,
TRK-974053,Melbourne → Sydney,Melbourne,Sydney,Delivered,1288.68,BlueDart,Rail,2673.80,Clear,Standard,66845.00,10,2026-03-04,2026-03-14,2026-03-15
TRK-633304,Paris → Shanghai,Paris,Shanghai,In Transit,1638.84,Hapag-Lloyd,Sea,2148.40,Clear,Overnight,119236.20,10,2026-03-25,2026-05-01,
TRK-181569,Tokyo → Sydney,Tokyo,Sydney,Delivered,1165.40,Maersk,Sea,4650.00,Rain,Standard,223200.00,25,2026-01-31,2026-03-04,2026-03-06
TRK-649071,New York → Berlin,New York,Berlin,Delivered,1057.92,DHL,Air,1167.60,Clear,Critical,43785.00,5,2026-03-08,2026-03-11,2026-03-11
TRK-910484,Paris → Los Angeles,Paris,Los Angeles,Delayed,3095.28,Hapag-Lloyd,Sea,4379.20,Storm,Express,289027.20,95,2026-02-13,2026-03-29,
TRK-586957,London → Mumbai,London,Mumbai,In Transit,874.71,Maersk,Sea,1274.50,Clear,Express,74558.25,5,2026-04-09,2026-05-18,
TRK-633395,Melbourne → Singapore,Melbourne,Singapore,In Transit,1760.38,Maersk,Sea,3468.40,Clear,Overnight,150875.40,10,2026-04-10,2026-05-09,
TRK-851746,New York → Rotterdam,New York,Rotterdam,In Transit,548.22,CMA CGM,Sea,4505.10,Rain,Standard,195971.85,25,2026-04-02,2026-05-01,
TRK-545232,New York → Rotterdam,New York,Rotterdam,Delivered,2014.22,DHL,Air,1798.00,Rain,Critical,44950.00,20,2026-02-20,2026-02-22,2026-02-23
TRK-269379,London → Chicago,London,Chicago,Delivered,939.09,FedEx,Air,978.00,Clear,Overnight,36675.00,10,2026-02-22,2026-02-25,2026-02-24
TRK-708095,Dubai → Mumbai,Dubai,Mumbai,Delayed,1468.25,FedEx,Air,3055.80,Clear,Overnight,114592.50,10,2026-03-23,2026-03-26,
